Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,Los Angeles Dodgers27.7,LAD14.9,LAD10.4,LAD4.5,STL17.5,PHI4.8,STL5.2,CLE4.0,STL5.9,ATL3.5,CLE2.2,SEA4.0,LAD4.3,NYY6.9,HOU2.5,NYY0.7
2,New York Yankees21.0,HOU10.7,HOU8.2,BAL4.0,NYY16.3,TOR3.2,LAD3.5,TEX2.9,SDP4.6,MIN3.4,CHC1.8,ATL3.2,NYY3.9,NYM5.6,STL2.0,STL0.6
3,Houston Astros19.9,ATL7.9,PHI8.1,ATL2.9,LAD12.8,ATL2.2,ARI2.5,HOU2.7,ATL4.2,NYM3.3,HOU1.7,LAA3.2,HOU3.1,HOU4.5,TOR1.9,TOR0.4
4,Atlanta Braves16.2,PHI7.7,LAA7.1,HOU2.5,TOR11.0,SEA2.1,WSN1.7,NYY2.6,CLE2.5,BOS3.3,NYM0.9,NYY3.0,WSN2.3,LAD3.5,LAA1.5,MIL0.3
5,New York Mets14.9,NYM7.6,SFG6.4,NYY2.1,HOU9.2,BAL1.8,ATL1.3,STL2.5,HOU2.3,HOU2.8,SDP0.5,NYM3.0,NYM1.7,CLE3.2,NYY1.5,LAD0.0
6,St. Louis Cardinals13.4,SFG6.4,MIA6.2,TBR1.9,ATL8.3,LAD1.7,TOR1.3,NYM2.3,PIT2.0,MIL2.7,ARI0.5,KCR1.4,ARI1.2,ARI2.8,MIN1.2,TBR-0.1
7,Toronto Blue Jays11.3,TBR5.5,NYM6.1,NYM1.5,SDP7.7,CHC1.1,CHW1.0,COL2.2,BOS1.8,LAD2.7,KCR0.3,BAL1.4,MIL1.1,SEA2.3,PHI0.9,SEA-0.1
8,Philadelphia Phillies9.1,LAA4.8,ATL5.0,CLE1.2,CLE7.7,NYY0.9,NYY1.0,MIA2.1,TBR1.7,SDP2.4,MIL0.3,MIN1.2,STL0.8,WSN1.5,BAL0.5,PHI-0.1
9,Cleveland Guardians7.6,NYY4.7,CHW4.3,SFG0.0,NYM7.3,OAK0.6,TEX1.0,MIL1.9,MIL1.5,CLE2.4,COL0.1,ARI1.1,TOR0.7,MIL1.5,LAD0.4,MIN-0.2
10,Tampa Bay Rays7.1,MIA3.6,TBR3.6,TOR-0.2,MIN6.3,TEX0.4,NYM1.0,MIN1.6,TOR1.5,CHC2.3,NYY0.0,PIT0.8,CLE0.4,STL1.2,TBR0.2,ARI-0.3
11,San Diego Padres6.0,CHW2.9,CHC3.1,SEA-0.3,MIL5.8,SDP0.4,SEA0.7,SDP1.1,NYY1.2,TEX2.0,TOR0.0,STL0.7,MIN0.1,SDP1.1,MIL-0.2,BAL-0.4
12,Baltimore Orioles4.8,BAL2.7,NYY2.6,PHI-0.4,SEA4.2,SFG0.2,PHI0.7,LAD0.7,MIN1.2,TBR1.8,PHI-0.2,SDP0.6,LAA0.1,MIN1.0,CHC-0.5,MIA-0.4
13,Seattle Mariners4.0,CHC0.5,CIN2.4,CHW-1.4,ARI2.6,BOS-0.4,TBR0.2,PHI0.3,SEA1.0,STL1.6,LAD-0.3,CLE0.6,SDP0.0,TOR0.9,CHW-0.7,CLE-0.5
14,Minnesota Twins2.9,TOR0.3,SDP1.9,CIN-2.1,BAL2.1,DET-0.4,SDP-0.4,TOR0.3,COL0.6,TOR1.5,MIN-0.3,WSN0.3,SEA-0.1,BAL0.8,KCR-0.7,HOU-0.5
15,Milwaukee Brewers1.4,CIN0.2,BOS1.1,WSN-2.2,TBR1.6,ARI-0.5,COL-0.5,TBR0.0,ARI0.6,BAL1.5,STL-0.3,TBR0.2,BAL-0.2,LAA0.7,ARI-0.8,DET-0.5
16,Chicago Cubs-1.6,CLE-0.1,ARI0.9,MIN-2.3,PHI1.4,KCR-0.7,BAL-0.7,BOS-0.1,BAL0.4,NYY1.5,TBR-0.4,TEX0.2,CIN-0.3,KCR-0.2,CLE-0.8,ATL-0.5
17,Los Angeles Angels-2.7,SEA-0.2,TOR0.5,KCR-2.4,TEX-1.7,MIL-1.0,MIN-0.8,ATL-0.2,LAD0.3,MIA1.2,BAL-0.4,TOR0.2,TBR-0.4,TBR-0.6,SDP-0.9,SDP-0.6
18,San Francisco Giants-3.3,SDP-1.7,SEA0.1,TEX-2.4,CHC-2.1,WSN-1.0,MIL-0.9,LAA-0.3,MIA-0.3,LAA0.8,CIN-0.7,DET0.1,ATL-0.6,ATL-0.8,SEA-1.0,COL-0.6
19,Miami Marlins-4.6,BOS-2.3,MIL-0.8,COL-2.4,BOS-4.4,MIN-1.1,CLE-1.1,ARI-0.4,SFG-0.6,CHW0.8,DET-0.8,MIL0.1,CHC-0.6,CHC-0.9,NYM-1.1,WSN-0.6
20,Chicago White Sox-5.9,MIN-3.4,MIN-1.1,MIA-2.5,COL-6.5,STL-1.5,SFG-1.4,CHC-0.6,CHC-0.8,SEA0.7,WSN-1.1,CHW0.0,TEX-1.0,DET-1.8,BOS-1.2,KCR-0.7
21,Arizona Diamondbacks-6.0,STL-4.1,STL-1.1,LAA-2.5,WSN-6.6,TBR-1.6,OAK-1.5,SFG-0.8,CIN-1.0,PIT0.7,SFG-1.3,HOU-0.3,DET-1.1,PHI-2.9,TEX-1.3,BOS-0.8
22,Boston Red Sox-6.7,KCR-4.2,CLE-1.3,CHC-2.5,LAA-7.5,NYM-1.7,KCR-1.5,OAK-1.3,PHI-1.0,DET0.3,MIA-1.4,LAD-0.5,SFG-1.2,COL-3.2,ATL-1.4,CHC-0.9
23,Texas Rangers-7.0,MIL-4.4,BAL-1.3,DET-2.7,MIA-8.2,MIA-1.8,CHC-1.8,SEA-1.5,NYM-1.1,OAK-0.2,CHW-1.5,SFG-0.7,BOS-1.6,SFG-3.2,PIT-1.6,CIN-1.0
24,Kansas City Royals-12.5,TEX-5.3,KCR-1.8,OAK-3.0,KCR-8.3,CLE-2.0,MIA-2.2,CHW-1.5,CHW-1.1,SFG-0.9,SEA-1.6,PHI-0.9,PHI-1.8,TEX-3.4,MIA-1.6,NYM-1.0
25,Colorado Rockies-12.5,COL-6.0,TEX-2.9,STL-3.0,CHW-8.8,COL-2.0,CIN-2.3,KCR-1.5,KCR-1.1,PHI-1.3,BOS-1.7,MIA-1.1,KCR-1.9,CIN-3.8,COL-1.6,CHW-1.0
26,Cincinnati Reds-17.0,OAK-7.5,PIT-3.1,BOS-3.3,SFG-9.7,CHW-2.3,BOS-2.3,WSN-1.6,DET-1.3,ARI-1.3,PIT-1.8,COL-1.2,OAK-2.0,PIT-3.9,CIN-1.7,SFG-1.2
27,Detroit Tigers-19.8,ARI-8.6,COL-3.6,MIL-3.6,DET-11.1,PIT-2.4,HOU-2.6,DET-1.8,TEX-2.0,COL-1.4,OAK-2.1,BOS-1.4,COL-2.1,CHW-4.0,SFG-1.8,TEX-1.3
28,Washington Nationals-21.0,DET-8.7,OAK-4.3,SDP-3.6,PIT-12.5,HOU-2.5,DET-3.1,PIT-1.8,WSN-2.1,KCR-1.9,LAA-2.6,CHC-2.1,CHW-2.5,BOS-4.7,WSN-2.0,PIT-1.5
29,Pittsburgh Pirates-22.5,PIT-10.0,DET-6.0,PIT-6.9,OAK-16.7,CIN-2.7,LAA-3.1,BAL-1.8,LAA-2.4,WSN-2.5,TEX-2.6,OAK-2.4,MIA-2.7,MIA-5.2,DET-2.5,LAA-1.7
30,Oakland Athletics-24.2,WSN-14.4,WSN-12.0,ARI-9.5,CIN-17.2,LAA-3.0,PIT-4.0,CIN-1.9,OAK-2.9,CIN-2.8,ATL-3.4,CIN-2.8,PIT-2.9,OAK-6.5,OAK-2.7,OAK-2.2