Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Arizona Diamondbacks,53,4.70,.695,162,1458,1071,12918.0,5761,4306,1399,56,134,.990,47,4,46,0,9
Atlanta Braves,51,4.42,.685,162,1458,1210,12960.0,5741,4320,1339,82,134,.986,15,1,16,0,2
Baltimore Orioles,50,4.19,.696,162,1458,991,13083.0,5876,4361,1444,71,140,.988,35,3,34,0,-3
Boston Red Sox,56,4.79,.677,162,1458,1059,12870.0,5821,4290,1429,102,137,.982,-15,-1,-20,-2,-2
Chicago Cubs,48,4.46,.694,162,1458,1130,12918.0,5888,4306,1490,92,137,.984,4,0,36,0,1
Chicago White Sox,56,5.19,.685,162,1458,1088,12885.0,5639,4295,1249,95,117,.983,-64,-6,-59,-4,-11
Cincinnati Reds,65,5.07,.685,162,1458,989,12954.0,5692,4318,1283,91,125,.984,-11,-1,-38,-1,1
Cleveland Guardians,50,4.30,.698,162,1458,1127,12996.0,5833,4332,1418,83,119,.986,10,1,24,0,3
Colorado Rockies,57,5.91,.670,162,1458,1146,12726.0,5839,4242,1516,81,169,.986,18,2,20,0,-1
Detroit Tigers,50,4.57,.699,162,1458,991,12981.0,5830,4327,1403,100,129,.983,28,3,22,0,1
Houston Astros,41,4.31,.697,162,1458,1164,13008.0,5763,4336,1346,81,144,.986,23,2,15,0,5
Kansas City Royals,58,5.30,.685,162,1458,1081,12681.0,5698,4227,1391,80,123,.986,-22,-2,-15,0,3
Los Angeles Angels,66,5.12,.682,162,1458,1059,12885.0,5674,4295,1284,95,125,.983,-65,-6,1,0,-6
Los Angeles Dodgers,58,4.31,.709,162,1458,985,13017.0,5821,4339,1406,76,139,.987,38,4,57,0,-2
Miami Marlins,52,4.46,.683,162,1458,1061,12918.0,5816,4306,1412,98,144,.983,-26,-2,-11,0,8
Milwaukee Brewers,58,3.99,.719,162,1458,1059,12987.0,5813,4329,1407,77,117,.987,62,6,68,4,5
Minnesota Twins,47,4.07,.697,162,1458,924,13062.0,5706,4354,1286,66,116,.988,-5,0,33,0,2
New York Mets,58,4.50,.689,162,1458,1119,12747.0,5731,4249,1394,88,142,.985,-38,-4,-25,-1,3
New York Yankees,54,4.31,.704,162,1458,1108,12957.0,5842,4319,1427,96,113,.984,19,2,27,1,-9
Oakland Athletics,62,5.70,.678,162,1458,1046,12777.0,5630,4259,1269,102,124,.982,-65,-6,-79,-1,-13
Philadelphia Phillies,44,4.41,.695,162,1458,1104,12981.0,5803,4327,1385,91,117,.984,-7,-1,-30,0,6
Pittsburgh Pirates,58,4.88,.686,162,1458,996,12870.0,5784,4290,1403,91,135,.984,-31,-3,3,1,-5
San Diego Padres,55,4.00,.702,162,1458,1142,12969.0,5840,4323,1444,73,130,.988,37,3,40,0,3
Seattle Mariners,55,4.07,.700,162,1458,1148,13044.0,5800,4348,1379,73,123,.987,21,2,15,0,5
San Francisco Giants,51,4.44,.679,162,1458,965,12912.0,6027,4304,1606,117,143,.981,-34,-3,-15,0,-9
St. Louis Cardinals,52,5.12,.670,162,1458,1109,12855.0,5944,4285,1592,67,154,.989,-66,-6,-7,-2,3
Tampa Bay Rays,58,4.10,.703,162,1458,1107,12978.0,5802,4326,1401,75,114,.987,30,3,25,0,-10
Texas Rangers,48,4.42,.703,162,1458,1109,12927.0,5789,4309,1423,57,143,.990,46,4,35,0,-1
Toronto Blue Jays,46,4.14,.693,162,1458,1084,13065.0,5733,4355,1307,71,125,.988,20,2,85,0,3
Washington Nationals,48,5.22,.682,162,1458,1148,12855.0,5880,4285,1505,90,158,.985,-27,-3,-30,0,-4
League Average,48,4.62,.691,162,1458,1077,12926,5794,4309,1401,84,132,.986,-1,0,9,0,-0
,1450,4.62,.691,4860,43740,32320,387786.0,173816,129262,42037,2517,3970,.986,-24,0,272,0,-14